RecordingTime,PEC_Measured_Current,PEC_Measured_Power,PEC_Measured_Voltage,Batt_SOC_Calculated,Frm_Temperature_Limit,Batt_Temp_Cell,Batt_Temp_NegPost,Batt_Temp_PosPost,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,Week_Counter,Test_Position_Timer,Test_Postn_Tmr_min,TC_Loop1PV,TC_Loop1SP,TC_Loop2PV,TC_Loop2SP,Batt_SOC_Req,PEC_Accumulated_Current_Total,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,PEC_Accumulated_Power_Total,LoopCnt1,Batt_Chrg_Capacity_Ah,Batt_Chrg_Capacity_kWh,Batt_Dischrg_Capacity_Ah,Batt_Dischrg_Capacity_kWh,Batt_Throughput_Ah,Batt_Throughput_kWh
s,A,kW,V,%,-,°C,°C,°C,Ah,Ah,-,-,min,°C,°C,-,-,%,Ah,kWh,kWh,kWh,-,Ah,kWh,Ah,kWh,Ah,kWh
Double,Float,Float,Float,Float,Long,Float,Float,Float,Double,Double,Long,Long,Float,Float,Float,Float,Float,Float,Float,Double,Double,Float,Long,Float,Float,Float,Float,Double,Double
155.2,0.003721,0.000014,3.761253,49.59,0,26.90,10000000000.00,27.66,9.855902,-7.192054,1,155370,2.59,24.9,25.0,0.0,-1.0,50.00,2.663848,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047956,0.064415
155.3,0.003721,0.000014,3.761253,49.59,0,26.81,10000000000.00,27.73,9.855902,-7.192054,1,155470,2.59,24.9,25.0,0.0,-1.0,50.00,2.663848,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047956,0.064415
155.4,0.003721,0.000014,3.761253,49.59,0,26.95,10000000000.00,27.83,9.855902,-7.192054,1,155570,2.59,24.9,25.0,0.0,-1.0,50.00,2.663848,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047956,0.064415
155.5,0.005773,0.000022,3.761253,49.59,0,26.90,10000000000.00,27.75,9.855902,-7.192054,1,155670,2.59,24.9,25.0,0.0,-1.0,50.00,2.663848,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047956,0.064415
155.6,0.003721,0.000014,3.761253,49.59,0,26.86,10000000000.00,27.74,9.855903,-7.192054,1,155770,2.60,24.9,25.0,0.0,-1.0,50.00,2.663848,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
155.7,0.005773,0.000022,3.761253,49.59,0,26.81,10000000000.00,27.78,9.855903,-7.192054,1,155870,2.60,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
155.8,0.003721,0.000014,3.761253,49.59,0,26.97,10000000000.00,27.76,9.855903,-7.192054,1,155970,2.60,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
155.9,0.003721,0.000014,3.761253,49.59,0,26.90,10000000000.00,27.77,9.855903,-7.192054,1,156070,2.60,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
156,0.003721,0.000014,3.761253,49.59,0,26.87,10000000000.00,27.78,9.855903,-7.192054,1,156170,2.60,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
156.1,0.003721,0.000014,3.761253,49.59,0,26.89,10000000000.00,27.88,9.855903,-7.192054,1,156270,2.60,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
156.2,0.003721,0.000014,3.761253,49.59,0,26.86,10000000000.00,27.81,9.855903,-7.192054,1,156370,2.61,24.9,25.0,0.0,-1.0,50.00,2.663849,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047957,0.064415
156.3,0.005773,0.000022,3.761253,49.59,0,26.92,10000000000.00,27.87,9.855904,-7.192054,1,156470,2.61,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.4,0.003721,0.000014,3.761253,49.59,0,26.90,10000000000.00,27.78,9.855904,-7.192054,1,156570,2.61,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.5,0.003721,0.000014,3.761253,49.59,0,26.88,10000000000.00,27.72,9.855904,-7.192054,1,156670,2.61,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.6,0.005773,0.000022,3.761415,49.59,0,26.86,10000000000.00,27.78,9.855904,-7.192054,1,156770,2.61,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.7,0.003721,0.000014,3.761415,49.59,0,26.92,10000000000.00,27.70,9.855904,-7.192054,1,156870,2.61,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.8,0.007825,0.000029,3.761576,49.59,0,26.98,10000000000.00,27.68,9.855904,-7.192054,1,156970,2.62,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
156.9,0.005773,0.000022,3.761253,49.59,0,26.82,10000000000.00,27.85,9.855904,-7.192054,1,157070,2.62,24.9,25.0,0.0,-1.0,50.00,2.663850,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047958,0.064415
157,0.003721,0.000014,3.761415,49.59,0,26.87,10000000000.00,27.83,9.855905,-7.192054,1,157170,2.62,24.9,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.1,0.003721,0.000014,3.761415,49.59,0,26.89,10000000000.00,27.73,9.855905,-7.192054,1,157270,2.62,24.9,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.2,0.003721,0.000014,3.761415,49.59,0,26.81,10000000000.00,27.82,9.855905,-7.192054,1,157370,2.62,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.3,0.003721,0.000014,3.761415,49.59,0,26.85,10000000000.00,27.71,9.855905,-7.192054,1,157470,2.62,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.4,0.003721,0.000014,3.761415,49.59,0,26.94,10000000000.00,27.71,9.855905,-7.192054,1,157570,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.5,0.003721,0.000014,3.761415,49.59,0,26.68,10000000000.00,27.73,9.855905,-7.192054,1,157670,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.6,0.003721,0.000014,3.761415,49.59,0,26.90,10000000000.00,27.80,9.855905,-7.192054,1,157770,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.7,0.003721,0.000014,3.761253,49.59,0,26.90,10000000000.00,27.77,9.855905,-7.192054,1,157870,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.8,0.003721,0.000014,3.761415,49.59,0,26.83,10000000000.00,27.87,9.855905,-7.192054,1,157970,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047959,0.064415
157.9,0.003721,0.000014,3.761415,49.59,0,26.83,10000000000.00,27.85,9.855906,-7.192054,1,158070,2.63,25.0,25.0,0.0,-1.0,50.00,2.663851,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158,0.003721,0.000014,3.761415,49.59,0,26.83,10000000000.00,27.77,9.855906,-7.192054,1,158170,2.64,25.0,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.1,0.003721,0.000014,3.761415,49.59,0,26.87,10000000000.00,27.71,9.855906,-7.192054,1,158270,2.64,25.0,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.2,0.003721,0.000014,3.761415,49.59,0,26.91,10000000000.00,27.85,9.855906,-7.192054,1,158370,2.64,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.3,0.003721,0.000014,3.761415,49.59,0,26.92,10000000000.00,27.81,9.855906,-7.192054,1,158470,2.64,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.4,0.003721,0.000014,3.761415,49.59,0,26.86,10000000000.00,27.80,9.855906,-7.192054,1,158570,2.64,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.5,0.003721,0.000014,3.761415,49.59,0,26.89,10000000000.00,27.85,9.855906,-7.192054,1,158670,2.64,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.6,0.005773,0.000022,3.761576,49.59,0,26.92,10000000000.00,27.91,9.855906,-7.192054,1,158770,2.65,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047960,0.064415
158.7,0.005773,0.000022,3.761576,49.59,0,26.86,10000000000.00,27.78,9.855907,-7.192054,1,158870,2.65,24.9,25.0,0.0,-1.0,50.00,2.663852,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
158.8,0.005773,0.000022,3.761576,49.59,0,26.88,10000000000.00,27.88,9.855907,-7.192054,1,158970,2.65,24.9,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
158.9,0.001669,0.000006,3.761253,49.59,0,26.82,10000000000.00,27.82,9.855907,-7.192054,1,159070,2.65,24.9,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159,0.003721,0.000014,3.761576,49.59,0,26.81,10000000000.00,27.74,9.855907,-7.192054,1,159170,2.65,24.9,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159.1,0.001669,0.000006,3.761415,49.59,0,26.85,10000000000.00,27.90,9.855907,-7.192054,1,159270,2.65,24.9,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159.2,0.001669,0.000006,3.761576,49.59,0,26.88,10000000000.00,27.85,9.855907,-7.192054,1,159370,2.66,25.0,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159.3,0.003721,0.000014,3.761738,49.59,0,26.92,10000000000.00,27.93,9.855907,-7.192054,1,159470,2.66,25.0,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159.4,0.001669,0.000006,3.761415,49.59,0,26.80,10000000000.00,27.78,9.855907,-7.192054,1,159570,2.66,25.0,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047961,0.064415
159.5,0.001669,0.000006,3.761576,49.59,0,26.78,10000000000.00,27.78,9.855907,-7.192054,1,159670,2.66,25.0,25.0,0.0,-1.0,50.00,2.663853,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
159.6,0.003721,0.000014,3.761576,49.59,0,26.78,10000000000.00,27.96,9.855908,-7.192054,1,159770,2.66,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
159.7,0.003721,0.000014,3.761738,49.59,0,26.86,10000000000.00,27.92,9.855908,-7.192054,1,159870,2.66,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
159.8,0.003721,0.000014,3.761576,49.59,0,26.80,10000000000.00,27.85,9.855908,-7.192054,1,159970,2.67,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
159.9,0.003721,0.000014,3.761576,49.59,0,26.91,10000000000.00,27.98,9.855908,-7.192054,1,160070,2.67,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
160,0.003721,0.000014,3.761576,49.59,0,26.86,10000000000.00,27.87,9.855908,-7.192054,1,160170,2.67,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
160.1,0.003721,0.000014,3.761576,49.59,0,26.83,10000000000.00,27.87,9.855908,-7.192054,1,160270,2.67,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
160.2,0.003721,0.000014,3.761738,49.59,0,26.84,10000000000.00,27.86,9.855908,-7.192054,1,160370,2.67,25.0,25.0,0.0,-1.0,50.00,2.663854,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047962,0.064415
160.3,0.003721,0.000014,3.761576,49.59,0,26.89,10000000000.00,27.90,9.855909,-7.192054,1,160470,2.67,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.4,0.003721,0.000014,3.761738,49.59,0,26.94,10000000000.00,27.93,9.855909,-7.192054,1,160570,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.5,0.003721,0.000014,3.761576,49.59,0,26.83,10000000000.00,27.94,9.855909,-7.192054,1,160670,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.6,0.003721,0.000014,3.761576,49.59,0,26.81,10000000000.00,27.93,9.855909,-7.192054,1,160770,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.7,0.003721,0.000014,3.761738,49.59,0,26.95,10000000000.00,27.99,9.855909,-7.192054,1,160870,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.8,0.003721,0.000014,3.761738,49.59,0,26.93,10000000000.00,27.88,9.855909,-7.192054,1,160970,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
160.9,0.005773,0.000022,3.761738,49.59,0,26.84,10000000000.00,28.01,9.855909,-7.192054,1,161070,2.68,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
161,0.003721,0.000014,3.761576,49.59,0,26.92,10000000000.00,27.96,9.855909,-7.192054,1,161170,2.69,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
161.1,0.003721,0.000014,3.761738,49.59,0,26.87,10000000000.00,27.94,9.855909,-7.192054,1,161270,2.69,25.0,25.0,0.0,-1.0,50.00,2.663855,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047963,0.064415
161.2,0.005773,0.000022,3.761576,49.59,0,26.88,10000000000.00,27.98,9.855910,-7.192054,1,161370,2.69,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.3,0.005773,0.000022,3.761738,49.59,0,26.83,10000000000.00,28.05,9.855910,-7.192054,1,161470,2.69,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.4,0.001669,0.000006,3.761900,49.59,0,26.75,10000000000.00,27.96,9.855910,-7.192054,1,161570,2.69,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.5,0.001669,0.000006,3.761900,49.59,0,26.86,10000000000.00,27.92,9.855910,-7.192054,1,161670,2.69,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.6,0.001669,0.000006,3.761738,49.59,0,26.92,10000000000.00,28.02,9.855910,-7.192054,1,161770,2.70,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.7,0.001669,0.000006,3.761900,49.59,0,26.80,10000000000.00,27.94,9.855910,-7.192054,1,161870,2.70,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.8,0.001669,0.000006,3.761900,49.59,0,26.95,10000000000.00,28.06,9.855910,-7.192054,1,161970,2.70,25.0,25.0,0.0,-1.0,50.00,2.663856,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047964,0.064415
161.9,0.001669,0.000006,3.761900,49.59,0,26.82,10000000000.00,27.96,9.855910,-7.192054,1,162070,2.70,25.0,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162,0.001669,0.000006,3.761900,49.59,0,26.81,10000000000.00,28.05,9.855911,-7.192054,1,162170,2.70,25.0,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.1,0.001669,0.000006,3.761900,49.59,0,26.83,10000000000.00,27.91,9.855911,-7.192054,1,162270,2.70,25.0,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.2,0.001669,0.000006,3.761900,49.59,0,26.81,10000000000.00,28.01,9.855911,-7.192054,1,162370,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.3,0.001669,0.000006,3.761900,49.59,0,26.94,10000000000.00,27.99,9.855911,-7.192054,1,162470,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.4,0.001669,0.000006,3.761900,49.59,0,26.75,10000000000.00,27.97,9.855911,-7.192054,1,162570,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.5,0.001669,0.000006,3.761738,49.59,0,26.84,10000000000.00,27.99,9.855911,-7.192054,1,162670,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.6,0.005773,0.000022,3.761900,49.59,0,26.86,10000000000.00,28.01,9.855911,-7.192054,1,162770,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.7,0.003721,0.000014,3.762061,49.59,0,26.91,10000000000.00,27.95,9.855911,-7.192054,1,162870,2.71,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047965,0.064415
162.8,0.003721,0.000014,3.761900,49.59,0,26.79,10000000000.00,27.95,9.855912,-7.192054,1,162970,2.72,24.9,25.0,0.0,-1.0,50.00,2.663857,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047966,0.064415
162.9,0.001669,0.000006,3.761738,49.59,0,26.85,10000000000.00,27.93,9.855912,-7.192054,1,163070,2.72,24.9,25.0,0.0,-1.0,50.00,2.663858,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047966,0.064415
163,0.003721,0.000014,3.761900,49.59,0,26.89,10000000000.00,27.87,9.855912,-7.192054,1,163170,2.72,24.9,25.0,0.0,-1.0,50.00,2.663858,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047966,0.064415
163.1,0.003721,0.000014,3.761900,49.59,0,26.75,10000000000.00,27.90,9.855912,-7.192054,1,163270,2.72,24.9,25.0,0.0,-1.0,50.00,2.663858,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047966,0.064415
163.2,-1.479733,-0.005546,3.748158,49.59,0,26.90,10000000000.00,27.90,9.855912,-7.192083,1,163370,2.72,24.9,25.0,0.0,-1.0,50.00,2.663829,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.047995,0.064415
163.3,-1.744415,-0.006533,3.745248,49.59,0,26.83,10000000000.00,28.20,9.855912,-7.192129,1,163470,2.72,24.9,25.0,0.0,-1.0,50.00,2.663783,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.048041,0.064415
163.4,-1.844954,-0.006908,3.744116,49.59,0,26.85,10000000000.00,28.09,9.855912,-7.192179,1,163570,2.73,24.9,25.0,0.0,-1.0,50.00,2.663733,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.048091,0.064415
163.5,-1.881886,-0.007045,3.743469,49.59,0,26.90,10000000000.00,28.06,9.855912,-7.192231,1,163670,2.73,24.9,25.0,0.0,-1.0,50.00,2.663681,0.039456,-0.024959,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.048143,0.064416
163.6,-1.986528,-0.007435,3.742499,49.58,0,26.84,10000000000.00,27.99,9.855912,-7.192286,1,163770,2.73,24.9,25.0,0.0,-1.0,50.00,2.663626,0.039456,-0.024960,0.014497,1,5.4209,0.0213,5.3719,0.0198,17.048198,0.064416
163.7,-2.027564,-0.007587,3.742014,49.58,0,26.88,10000000000.00,28.04,9.855912,-7.192342,1,163870,2.73,24.9,25.0,0.0,-1.0,50.00,2.663570,0.039456,-0.024960,0.014496,1,5.4209,0.0213,5.3719,0.0198,17.048254,0.064416
163.8,-2.150672,-0.008045,3.740721,49.58,0,26.85,10000000000.00,28.09,9.855912,-7.192400,1,163970,2.73,24.9,25.0,0.0,-1.0,50.00,2.663512,0.039456,-0.024960,0.014496,1,5.4209,0.0213,5.3719,0.0198,17.048312,0.064416
163.9,-2.216330,-0.008289,3.739913,49.58,0,26.79,10000000000.00,27.93,9.855912,-7.192461,1,164070,2.73,24.9,25.0,0.0,-1.0,50.00,2.663451,0.039456,-0.024960,0.014496,1,5.4209,0.0213,5.3719,0.0198,17.048373,0.064416
164,-2.314816,-0.008655,3.738943,49.58,0,26.84,10000000000.00,28.00,9.855912,-7.192525,1,164170,2.74,24.9,25.0,0.0,-1.0,50.00,2.663387,0.039456,-0.024961,0.014496,1,5.4209,0.0213,5.3719,0.0198,17.048437,0.064417
164.1,-2.388681,-0.008929,3.738134,49.58,0,26.75,10000000000.00,27.96,9.855912,-7.192590,1,164270,2.74,24.9,25.0,0.0,-1.0,50.00,2.663321,0.039456,-0.024961,0.014495,1,5.4209,0.0213,5.3719,0.0198,17.048502,0.064417
164.2,-2.487168,-0.009295,3.737164,49.58,0,26.85,10000000000.00,27.98,9.855912,-7.192659,1,164370,2.74,24.9,25.0,0.0,-1.0,50.00,2.663253,0.039456,-0.024961,0.014495,1,5.4209,0.0213,5.3719,0.0198,17.048571,0.064417
164.3,-2.556929,-0.009554,3.736356,49.58,0,26.88,10000000000.00,27.99,9.855912,-7.192729,1,164470,2.74,24.9,25.0,0.0,-1.0,50.00,2.663183,0.039456,-0.024961,0.014495,1,5.4209,0.0213,5.3719,0.0198,17.048641,0.064417
164.4,-2.657468,-0.009926,3.735063,49.57,0,26.86,10000000000.00,28.10,9.855912,-7.192802,1,164570,2.74,24.9,25.0,0.0,-1.0,50.00,2.663110,0.039456,-0.024962,0.014495,1,5.4209,0.0213,5.3719,0.0198,17.048714,0.064418
164.5,-2.725177,-0.010177,3.734578,49.57,0,26.69,10000000000.00,27.94,9.855912,-7.192877,1,164670,2.74,24.9,25.0,0.0,-1.0,50.00,2.663035,0.039456,-0.024962,0.014494,1,5.4209,0.0213,5.3719,0.0198,17.048789,0.064418
164.6,-2.825715,-0.010549,3.733284,49.57,0,26.79,10000000000.00,28.05,9.855912,-7.192955,1,164770,2.75,24.9,25.0,0.0,-1.0,50.00,2.662957,0.039456,-0.024962,0.014494,1,5.4209,0.0213,5.3719,0.0198,17.048867,0.064418
164.7,-2.891373,-0.010792,3.732638,49.57,0,26.84,10000000000.00,28.01,9.855912,-7.193034,1,164870,2.75,24.9,25.0,0.0,-1.0,50.00,2.662878,0.039456,-0.024962,0.014494,1,5.4209,0.0213,5.3719,0.0198,17.048946,0.064419
164.8,-2.991911,-0.011164,3.731506,49.57,0,26.92,10000000000.00,28.14,9.855912,-7.193116,1,164970,2.75,24.9,25.0,0.0,-1.0,50.00,2.662796,0.039456,-0.024963,0.014493,1,5.4209,0.0213,5.3719,0.0198,17.049028,0.064419
164.9,-3.057569,-0.011407,3.730859,49.57,0,26.85,10000000000.00,28.02,9.855912,-7.193201,1,165070,2.75,24.9,25.0,0.0,-1.0,50.00,2.662711,0.039456,-0.024963,0.014493,1,5.4209,0.0213,5.3719,0.0198,17.049113,0.064419
165,-3.158108,-0.011779,3.729728,49.57,0,26.94,10000000000.00,28.01,9.855912,-7.193288,1,165170,2.75,24.9,25.0,0.0,-1.0,50.00,2.662624,0.039456,-0.024963,0.014493,1,5.4209,0.0213,5.3719,0.0198,17.049200,0.064420
165.1,-3.223765,-0.012021,3.728919,49.56,0,26.85,10000000000.00,28.07,9.855912,-7.193376,1,165270,2.75,24.9,25.0,0.0,-1.0,50.00,2.662535,0.039456,-0.024964,0.014492,1,5.4209,0.0213,5.3719,0.0198,17.049288,0.064420
