RecordingTime,PEC_Measured_Current,PEC_Measured_Power,PEC_Measured_Voltage,Batt_SOC_Calculated,Frm_Temperature_Limit,Batt_Temp_Cell,Batt_Temp_NegPost,Batt_Temp_PosPost,PEC_Accumulated_Current_In,PEC_Accumulated_Current_Out,Week_Counter,Test_Position_Timer,Test_Postn_Tmr_min,TC_Loop1PV,TC_Loop1SP,TC_Loop2PV,TC_Loop2SP,Batt_SOC_Req,PEC_Accumulated_Current_Total,PEC_Accumulated_Power_In,PEC_Accumulated_Power_Out,PEC_Accumulated_Power_Total,LoopCnt1,Batt_Chrg_Capacity_Ah,Batt_Chrg_Capacity_kWh,Batt_Dischrg_Capacity_Ah,Batt_Dischrg_Capacity_kWh,Batt_Throughput_Ah,Batt_Throughput_kWh
s,A,kW,V,%,-,°C,°C,°C,Ah,Ah,-,-,min,°C,°C,-,-,%,Ah,kWh,kWh,kWh,-,Ah,kWh,Ah,kWh,Ah,kWh
Double,Float,Float,Float,Float,Long,Float,Float,Float,Double,Double,Long,Long,Float,Float,Float,Float,Float,Float,Float,Double,Double,Float,Long,Float,Float,Float,Float,Double,Double
1.1,0.003721,0.000014,3.735386,49.99,0,26.77,10000000000.00,30.26,9.852327,-7.166918,1,1270,0.02,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.2,0.003721,0.000014,3.735386,49.99,0,26.88,10000000000.00,30.30,9.852327,-7.166918,1,1370,0.02,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.3,0.003721,0.000014,3.735548,49.99,0,26.89,10000000000.00,30.27,9.852327,-7.166918,1,1470,0.02,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.4,0.005773,0.000022,3.735709,49.99,0,26.90,10000000000.00,30.31,9.852327,-7.166918,1,1570,0.03,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.5,0.005773,0.000022,3.735709,49.99,0,26.85,10000000000.00,30.31,9.852327,-7.166918,1,1670,0.03,25.0,25.0,0.0,-1.0,50.00,2.685409,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.6,0.005773,0.000022,3.735871,49.99,0,26.82,10000000000.00,30.28,9.852327,-7.166918,1,1770,0.03,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.7,0.003721,0.000014,3.735871,49.99,0,26.67,10000000000.00,30.37,9.852327,-7.166918,1,1870,0.03,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.8,0.005773,0.000022,3.736033,49.99,0,26.93,10000000000.00,30.32,9.852328,-7.166918,1,1970,0.03,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
1.9,0.005773,0.000022,3.736194,49.99,0,26.90,10000000000.00,30.23,9.852328,-7.166918,1,2070,0.03,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019245,0.064308
2,0.003721,0.000014,3.736194,49.99,0,26.86,10000000000.00,30.26,9.852328,-7.166918,1,2170,0.04,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.1,0.005773,0.000022,3.736356,49.99,0,26.91,10000000000.00,30.19,9.852328,-7.166918,1,2270,0.04,25.0,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.2,0.005773,0.000022,3.736356,49.99,0,26.92,10000000000.00,30.25,9.852328,-7.166918,1,2370,0.04,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.3,0.003721,0.000014,3.736518,49.99,0,26.91,10000000000.00,30.24,9.852328,-7.166918,1,2470,0.04,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.4,0.005773,0.000022,3.736518,49.99,0,26.87,10000000000.00,30.21,9.852328,-7.166918,1,2570,0.04,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.5,0.005773,0.000022,3.736679,49.99,0,26.78,10000000000.00,30.22,9.852328,-7.166918,1,2670,0.04,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.6,0.005773,0.000022,3.736841,49.99,0,26.86,10000000000.00,30.25,9.852328,-7.166918,1,2770,0.05,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.7,0.005773,0.000022,3.736841,49.99,0,26.73,10000000000.00,30.12,9.852328,-7.166918,1,2870,0.05,25.1,25.0,0.0,-1.0,50.00,2.685410,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.8,0.007825,0.000029,3.737003,49.99,0,26.84,10000000000.00,30.17,9.852329,-7.166918,1,2970,0.05,25.1,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019246,0.064308
2.9,0.005773,0.000022,3.737003,49.99,0,26.99,10000000000.00,30.30,9.852329,-7.166918,1,3070,0.05,25.1,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3,0.005773,0.000022,3.737003,49.99,0,26.82,10000000000.00,30.22,9.852329,-7.166918,1,3170,0.05,25.1,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.1,0.003721,0.000014,3.737326,49.99,0,26.96,10000000000.00,30.26,9.852329,-7.166918,1,3270,0.05,25.1,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.2,0.003721,0.000014,3.737326,49.99,0,26.83,10000000000.00,30.29,9.852329,-7.166918,1,3370,0.06,25.0,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.3,0.003721,0.000014,3.737326,49.99,0,26.90,10000000000.00,30.15,9.852329,-7.166918,1,3470,0.06,25.0,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.4,0.003721,0.000014,3.737488,49.99,0,26.89,10000000000.00,30.12,9.852329,-7.166918,1,3570,0.06,25.0,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.5,0.003721,0.000014,3.737488,49.99,0,26.79,10000000000.00,30.22,9.852329,-7.166918,1,3670,0.06,25.0,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.6,0.003721,0.000014,3.737649,49.99,0,26.83,10000000000.00,30.26,9.852329,-7.166918,1,3770,0.06,25.0,25.0,0.0,-1.0,50.00,2.685411,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.7,0.001669,0.000006,3.737649,49.99,0,26.82,10000000000.00,30.27,9.852329,-7.166918,1,3870,0.06,25.0,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.8,0.003721,0.000014,3.737811,49.99,0,26.90,10000000000.00,30.20,9.852330,-7.166918,1,3970,0.07,25.0,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019247,0.064308
3.9,0.003721,0.000014,3.737811,49.99,0,26.96,10000000000.00,30.16,9.852330,-7.166918,1,4070,0.07,25.0,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4,0.003721,0.000014,3.737973,49.99,0,26.89,10000000000.00,30.12,9.852330,-7.166918,1,4170,0.07,25.0,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.1,0.001669,0.000006,3.737811,49.99,0,26.90,10000000000.00,30.12,9.852330,-7.166918,1,4270,0.07,25.0,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.2,0.003721,0.000014,3.738134,49.99,0,26.97,10000000000.00,30.22,9.852330,-7.166918,1,4370,0.07,25.1,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.3,0.001669,0.000006,3.738296,49.99,0,26.85,10000000000.00,30.12,9.852330,-7.166918,1,4470,0.07,25.1,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.4,0.003721,0.000014,3.738296,49.99,0,26.82,10000000000.00,30.20,9.852330,-7.166918,1,4570,0.08,25.1,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.5,0.003721,0.000014,3.738619,49.99,0,26.98,10000000000.00,30.15,9.852330,-7.166918,1,4670,0.08,25.1,25.0,0.0,-1.0,50.00,2.685412,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.6,0.003721,0.000014,3.738458,49.99,0,26.87,10000000000.00,30.09,9.852330,-7.166918,1,4770,0.08,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.7,0.003721,0.000014,3.738619,49.99,0,26.78,10000000000.00,30.19,9.852331,-7.166918,1,4870,0.08,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019248,0.064308
4.8,0.001669,0.000006,3.738619,49.99,0,26.83,10000000000.00,30.08,9.852331,-7.166918,1,4970,0.08,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
4.9,0.003721,0.000014,3.738781,49.99,0,26.82,10000000000.00,30.11,9.852331,-7.166918,1,5070,0.08,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5,0.003721,0.000014,3.738619,49.99,0,26.86,10000000000.00,30.12,9.852331,-7.166918,1,5170,0.09,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.1,0.003721,0.000014,3.738781,49.99,0,26.86,10000000000.00,30.12,9.852331,-7.166918,1,5270,0.09,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.2,0.003721,0.000014,3.738943,49.99,0,26.78,10000000000.00,30.11,9.852331,-7.166918,1,5370,0.09,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.3,0.003721,0.000014,3.739104,49.99,0,26.86,10000000000.00,30.18,9.852331,-7.166918,1,5470,0.09,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.4,0.003721,0.000014,3.739266,49.99,0,26.88,10000000000.00,30.11,9.852331,-7.166918,1,5570,0.09,25.1,25.0,0.0,-1.0,50.00,2.685413,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.5,0.005773,0.000022,3.739104,49.99,0,26.86,10000000000.00,30.06,9.852331,-7.166918,1,5670,0.09,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
5.6,0.001669,0.000006,3.739266,49.99,0,26.89,10000000000.00,30.01,9.852331,-7.166918,1,5770,0.10,25.1,25.0,0.0,-1.0,50.00,2.685414,0.039443,-0.024865,0.014578,1,5.4209,0.0213,5.3719,0.0198,17.019249,0.064308
